1-B ,Nazimabad to Tower,"(67.028587, 24.9110982)","(67.0217621, 24.9166257)","(67.0099388, 24.8614622)","(67.0328921, 24.8794062)","(67.01592029999999, 24.8660864)","(66.995155, 24.847778)","(67.030388, 24.856621)",,,,,,,,,,,,,,,,,,,,,,,,,,
1-C ,M.P.R Colony to Sultanabad,"(67.01929129999999, 24.9523357)","(67.0241191, 24.9425629)","(67.0075506, 24.9424996)","(67.34142539999999, 24.8564814)","(66.99284399999999, 24.8941108)","(67.0303789, 24.8277325)","(66.998859, 24.864439)","(67.0229865, 24.8758048)","(67.02893809999999, 24.8577848)","(67.0389292, 24.8556108)","(67.0247706, 24.8612304)","(67.0158508, 24.8565591)","(67.0178826, 24.8527679)","(67.030388, 24.856621)","(67.0185341, 24.8398384)",,,,,,,,,,,,,,,,,,
1-D ,Ittehad Town to Cantt Station,"(66.9451892, 24.9759061)",None,"(66.99284399999999, 24.950082)","(67.0075506, 24.9424996)","(67.34142539999999, 24.8564814)","(66.96933530000001, 24.9246687)","(67.049352, 24.9092658)","(67.0405017, 24.9018297)","(67.088297, 24.8785103)","(67.0438173, 24.8932378)","(67.0415005, 24.8865071)","(67.02950299999999, 24.8626529)","(67.04124, 24.8438739)",,,,,,,,,,,,,,,,,,,,
1-E ,Manzoor colony to Faqeer colony ,"(67.0851832, 24.8502479)","(67.0545366, 24.847565)","(67.0831391, 24.8578145)","(67.07881809999999, 24.8555754)","(67.0772922, 24.8550697)","(67.0748306, 24.8542712)","(67.0720812, 24.8532469)","(67.0858271, 24.8593527)","(67.0076902, 24.8555366)","(67.0635868, 24.847465)","(67.055794, 24.8466809)","(67.0458993, 24.8521103)","(67.0389292, 24.8556108)","(67.0167444, 24.9324093)","(67.0166725, 24.8531846)","(67.0364525, 24.8730489)","(67.03985229999999, 24.8807075)","(67.0367783, 24.8851307)","(67.0099388, 24.8614622)","(67.0129003, 24.8860225)","(66.96933530000001, 24.9246687)","(67.028587, 24.9110982)","(67.0303789, 24.8277325)",None,"(66.9850022, 24.9522405)","(66.9851262, 24.9752459)","(66.9842808, 24.928753)",,,,,,
1-F ,Naval Colony to Orangi Township No.10,"(66.9377434, 24.9453192)","(66.9183846, 24.8680297)","(66.9664987, 24.8753739)","(67.030388, 24.856621)","(67.0021069, 24.8570777)","(67.0153205, 24.8676393)",None,"(67.00047529999999, 24.9089133)","(66.9851262, 24.9752459)",,,,,,,,,,,,,,,,,,,,,,,,
1-G ,M.W Tower to Data Chowk Orangi Town,"(66.99736949999999, 24.8489381)","(67.0158508, 24.8565591)","(67.0166725, 24.8531846)","(67.0364525, 24.8730489)","(67.03985229999999, 24.8807075)","(67.0438173, 24.8932378)","(67.049352, 24.9092658)","(66.96933530000001, 24.9246687)","(67.0345691, 24.9032548)","(80.375866, 26.476091)","(67.0203958, 24.9230668)","(67.0237467, 24.9302573)","(67.0097969, 24.9367337)","(66.9867781, 24.9626058)",,,,,,,,,,,,,,,,,,,
1-H ,Gulshan-e-Bahar to Keamari,"(66.9943333, 24.9769077)","(67.0027104, 24.9413644)","(67.0047835, 24.9512415)","(67.01146, 24.9440084)","(67.00252429999999, 24.9383607)","(67.0124702, 24.9403815)","(67.0573878, 24.9649477)","(67.0075506, 24.9424996)","(67.01644999999999, 24.92761)","(66.9988748, 24.9067773)","(67.0303789, 24.8277325)","(66.99284399999999, 24.8941108)","(67.088297, 24.8785103)",None,None,"(66.9895172, 24.8940574)","(66.9883763, 24.8835908)","(66.9950779, 24.8783796)","(66.9980564, 24.8676664)","(67.0006161, 24.8605147)","(66.9950779, 24.8503898)","(67.0321835, 24.8821443)","(67.030388, 24.856621)","(66.8320207, 24.8847233)",,,,,,,,,
1-L ,Raees Amrohi Colony to Sharifabad,"(66.9742285, 24.9617474)","(66.9902146, 24.9554921)","(66.9940013, 24.9471967)","(66.9834199, 24.9598096)",None,"(67.0303789, 24.8277325)","(67.0302969, 24.859007)","(66.998859, 24.864439)","(67.0297056, 24.8813263)","(67.0166725, 24.8531846)","(67.0458993, 24.8521103)","(67.0740126, 24.8393459)","(67.0807149, 24.8257241)","(67.135825, 24.849999)","(67.0539059, 24.9109966)",,,,,,,,,,,,,,,,,,
11-A ,Gulistan-e-Jouhar to M.A Jinnah Road,"(67.13049889999999, 24.9262948)","(67.1103421, 24.9252993)","(67.0970104, 24.9175697)","(67.0729901, 24.8994173)","(67.1575241, 24.9957565)","(67.0530072, 24.8871202)","(67.0542782, 24.8855104)","(67.03985229999999, 24.8807075)","(67.0364525, 24.8730489)","(67.0166725, 24.8531846)","(67.0247706, 24.8612304)","(67.00694519999999, 24.87325)","(67.01752909999999, 24.8607321)",,,,,,,,,,,,,,,,,,,,
11-C ,Azam Basti to Safoora Goth,"(67.075502, 24.8479869)","(67.0076902, 24.8555366)","(67.055794, 24.8466809)","(67.0458993, 24.8521103)","(67.0166725, 24.8531846)","(67.02765, 24.86616)","(67.0364525, 24.8730489)","(67.03985229999999, 24.8807075)","(67.04627289999999, 24.879842)","(67.0530072, 24.8871202)","(67.0606127, 24.8888883)","(67.1575241, 24.9957565)","(67.0729901, 24.8994173)","(67.0893753, 24.9112095)","(67.0970104, 24.9175697)","(67.1103421, 24.9252993)","(67.11453480000002, 24.9290446)","(67.15617300000001, 24.9393424)",,,,,,,,,,,,,,,
